SK_ID_CURR,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,EXT_SOURCE_2,EXT_SOURCE_3,nan_EXT_SOURCE_1
396351,Cash loans,1,1,0,0,112500.0,1319269.5,37809.0,1152000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,57.202739726027396,25.202739726027396,0.6786972618381287,0.6178261467332483,1
424685,Cash loans,2,0,1,1,225000.0,830038.5,38592.0,729000.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,35.136986301369866,8.838356164383562,0.5547943058596416,0.646329897706246,1
345561,Cash loans,2,0,1,0,157500.0,239418.0,14778.0,211500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,65.69041095890411,0.39452054794520547,0.7156474027027563,0.6380435278721609,1
153199,Revolving loans,2,0,1,0,99000.0,202500.0,10125.0,202500.0,Unaccompanied,Pensioner,Higher education,Widow,House / apartment,59.6,,0.6348048172562112,0.6940926425266661,0
426998,Cash loans,1,1,0,1,90000.0,573408.0,20727.0,495000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,37.88767123287671,2.3123287671232875,0.2936472887301955,0.7700870700124128,0
435356,Cash loans,1,1,1,0,202500.0,900000.0,26446.5,900000.0,Unaccompanied,Commercial associate,Higher education,Married,With parents,43.78082191780822,3.328767123287671,0.7248554840850921,0.3490552510751822,1
344106,Cash loans,2,0,1,0,135000.0,323194.5,15678.0,279000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,59.06575342465754,,0.6221121232190929,0.6594055320683344,1
223681,Cash loans,2,0,1,2,72000.0,314100.0,16573.5,225000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,33.8,1.3013698630136987,0.5089393051804997,0.5226973172821112,1
365121,Revolving loans,2,0,1,1,121500.0,270000.0,13500.0,270000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,27.545205479452054,1.9945205479452055,0.6564927554020505,0.3539876078507373,1
358674,Cash loans,1,0,1,0,144000.0,1506816.0,49927.5,1350000.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,57.61917808219178,0.6246575342465753,0.5629131888864792,,1
411894,Cash loans,1,1,0,0,225000.0,900000.0,40801.5,900000.0,Unaccompanied,Working,Higher education,Married,House / apartment,40.61095890410959,1.6794520547945206,0.6280056574834042,0.633031641417419,0
293327,Cash loans,2,0,1,2,144000.0,1288350.0,37800.0,1125000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,38.71780821917808,7.684931506849315,0.6363901051358241,,1
346949,Cash loans,2,0,0,2,135000.0,1066320.0,38299.5,900000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,32.70958904109589,1.2986301369863014,0.3894998595589675,0.4776491548517548,1
404861,Cash loans,1,1,1,1,157500.0,787131.0,46021.5,679500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,28.38082191780822,4.219178082191781,0.1459918214990302,,1
169918,Cash loans,2,0,0,1,157500.0,254700.0,25321.5,225000.0,Unaccompanied,Working,Higher education,Married,With parents,32.0986301369863,8.032876712328767,0.3127929357460912,0.6075573001388961,1
419633,Cash loans,2,1,1,1,135000.0,585000.0,28273.5,585000.0,Unaccompanied,Working,Higher education,Single / not married,House / apartment,41.68767123287671,19.736986301369864,0.7479691851132897,0.080116380463876,0
401507,Cash loans,2,0,0,1,135000.0,917451.0,47632.5,792000.0,Family,Working,Higher education,Married,House / apartment,38.558904109589044,3.372602739726027,0.5059878479314005,0.7281412993111438,0
240936,Cash loans,2,0,0,0,112500.0,648000.0,24142.5,648000.0,Family,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,33.06027397260274,1.9479452054794522,0.5847333769489932,0.2735646775174348,1
314954,Cash loans,1,0,1,0,180000.0,1116076.5,37012.5,913500.0,Family,Commercial associate,Secondary / secondary special,Married,House / apartment,36.66301369863014,1.5342465753424657,0.4971809952777733,0.4902575124990026,0
211865,Cash loans,2,0,1,0,27000.0,45000.0,4383.0,45000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,55.679452054794524,,0.7162744310385661,0.6144143775673561,0
160549,Cash loans,2,0,1,0,148500.0,544491.0,15732.0,454500.0,Family,Pensioner,Secondary / secondary special,Married,House / apartment,64.8958904109589,,0.2874540432173199,,1
181920,Cash loans,1,0,1,0,157500.0,1024636.5,36931.5,918000.0,"Spouse, partner",Working,Higher education,Married,House / apartment,54.25753424657534,3.526027397260274,0.1902222464147043,0.2807895743848605,1
427572,Cash loans,1,1,0,0,225000.0,755190.0,36328.5,675000.0,Unaccompanied,State servant,Higher education,Married,House / apartment,41.863013698630134,10.808219178082192,0.4921739282397861,0.5849900404894085,1
244940,Cash loans,1,1,1,0,252000.0,675000.0,21906.0,675000.0,Family,Pensioner,Secondary / secondary special,Married,House / apartment,56.15068493150685,,0.6510579632908892,0.6528965519806539,0
134148,Revolving loans,2,0,0,0,90000.0,202500.0,10125.0,202500.0,Family,Working,Higher education,Single / not married,With parents,23.405479452054795,1.4027397260273973,0.7119170930428574,,1
365558,Cash loans,2,1,1,2,180000.0,584766.0,29988.0,472500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,32.394520547945206,2.2356164383561645,0.6230678397348887,0.6178261467332483,0
261238,Cash loans,2,0,1,1,310500.0,599116.5,27891.0,535500.0,Unaccompanied,Working,Secondary / secondary special,Separated,House / apartment,52.38356164383562,2.197260273972603,0.2980158100562503,,1
342548,Cash loans,1,0,1,0,67500.0,98910.0,7164.0,90000.0,Unaccompanied,Pensioner,Secondary / secondary special,Widow,House / apartment,57.515068493150686,,0.6402672968085137,,1
455835,Cash loans,1,1,0,0,171000.0,210456.0,13833.0,166500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,28.147945205479452,1.1315068493150684,0.6270703084623448,0.8347841592331774,0
243508,Cash loans,1,1,1,0,297000.0,521280.0,25078.5,450000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,Municipal apartment,56.69041095890411,8.241095890410959,0.2630333631834562,0.8396980847302156,1
153675,Cash loans,2,0,1,0,225000.0,1138500.0,35878.5,1138500.0,Family,Commercial associate,Secondary / secondary special,Married,House / apartment,54.96986301369863,1.1232876712328768,0.4861796258306682,0.7121551551910698,0
145517,Cash loans,1,0,0,0,141727.5,675000.0,18562.5,675000.0,,Working,Secondary / secondary special,Single / not married,House / apartment,29.783561643835615,3.5643835616438357,0.5770246147539441,0.6690566947824041,0
412548,Cash loans,2,0,1,0,135000.0,1256400.0,34681.5,900000.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,40.45753424657534,4.010958904109589,0.7061244620511731,0.5334816299804352,0
363344,Revolving loans,2,1,1,0,103500.0,202500.0,10125.0,202500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,55.43287671232877,0.3452054794520548,0.6442415475831468,0.3506958432829587,1
359807,Cash loans,2,0,1,3,99000.0,432567.0,29389.5,328500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,28.78904109589041,4.682191780821918,0.5473884130273102,0.3927738606031339,1
283851,Cash loans,2,0,1,0,193500.0,900000.0,32328.0,900000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Separated,House / apartment,49.37260273972603,3.345205479452055,0.5758500066079526,0.2807895743848605,1
